State,Mineral,Year,Quantity,Value_Cr
Madhya Pradesh,Copper Ores & Conc,2020,2483517,3128301
Rajasthan,Copper Ores & Conc,2020,1174039,3045512
Jharkhand,Gold Ore,2020,5581,0
Karnataka,Gold Ore,2020,576699,0
India,Gold,2020,1595,4362410
Jharkhand,Gold,2020,15,45424
Karnataka,Gold,2020,1580,4316986
India,Iron Ore,2020,194584,252291800
Andhra Pradesh,Iron Ore,2020,485,264799
Chhattisgarh,Iron Ore,2020,33285,60676299
Goa,Iron Ore,2020,9170,11555369
Jharkhand,Iron Ore,2020,21226,14623291
Karnataka,Iron Ore,2020,26483,44516152
Madhya Pradesh,Iron Ore,2020,1772,767339
Maharashtra,Iron Ore,2020,1321,1152443
Odisha,Iron Ore,2020,99614,115628185
Rajasthan,Iron Ore,2020,1228,3107923
Telangana,Iron Ore,2020,0,0
India,Lead & Zinc Ore,2020,11881238,0
Rajasthan,Lead & Zinc Ore,2020,11881238,0
India,Lead Conc.,2020,268047,9669267
Rajasthan,Lead Conc.,2020,268047,9669267
India,Zinc Conc.,2020,1484244,43385599
Rajasthan,Zinc Conc.,2020,1484244,43385599
India,Manganese Ore,2020,2395134,16248429
Andhra Pradesh,Manganese Ore,2020,232257,729003
Gujarat,Manganese Ore,2020,43057,20605
Jharkhand,Manganese Ore,2020,508,3440
Karnataka,Manganese Ore,2020,261372,1159755
Madhya Pradesh,Manganese Ore,2020,650316,4532518
Maharashtra,Manganese Ore,2020,604300,6181596
Odisha,Manganese Ore,2020,587517,3547363
Rajasthan,Manganese Ore,2020,2545,7635
Telangana,Manganese Ore,2020,13262,66514
India,Silver,2020,460811,18320758
Karnataka,Silver,2020,169,6639
Rajasthan,Silver,2020,460642,18314119
India,Tin Conc.,2020,12121,8736
Chhattisgarh,Tin Conc.,2020,12121,8736
India,Apatite,2020,0,0
Andhra Pradesh,Apatite,2020,0,0
India,Phosphorite,2020,1124440,2996711
Madhya Pradesh,Phosphorite,2020,149700,129033
Rajasthan,Phosphorite,2020,974740,2867678
India,Diamond,2020,36491,639562
Madhya Pradesh,Diamond,2020,36491,639562
India,Fluorite(graded),2020,1175,6733
Maharashtra,Fluorite(graded),2020,1175,6733
India,Flint Stone,2020,26,8
Jharkhand,Flint Stone,2020,26,8
India,Garnet (abrasive),2020,85413,787302
Andhra Pradesh,Garnet (abrasive),2020,51243,565747
Odisha,Garnet (abrasive),2020,22076,133979
Rajasthan,Garnet (abrasive),2020,1482,2567
Tamil Nadu,Garnet (abrasive),2020,10612,85009
India,Graphite(Natural),2020,122438,94158
Jharkhand,Graphite(Natural),2020,10343,11450
Kerala,Graphite(Natural),2020,660,5280
Odisha,Graphite(Natural),2020,16374,10684
Tamil Nadu,Graphite(Natural),2020,95061,66744
India,Kyanite,2020,3253,13458
Maharashtra,Kyanite,2020,3253,13458
India,Sillimanite,2020,68131,535949
Andhra Pradesh,Sillimanite,2020,37109,321945
Kerala,Sillimanite,2020,9254,87400
Maharashtra,Sillimanite,2020,6196,22739
Meghalaya,Sillimanite,2020,0,0
Odisha,Sillimanite,2020,15572,103865
India,Limestone,2020,314669,73878426
Andhra Pradesh,Limestone,2020,35515,7446888
Assam,Limestone,2020,1594,444644
Bihar,Limestone,2020,190,104495
Chhattisgarh,Limestone,2020,32156,8622865
Gujarat,Limestone,2020,25813,5110332
Himachal Pradesh,Limestone,2020,11009,2185480
Jammu & Kashmir,Limestone,2020,1032,200602
Jharkhand,Limestone,2020,1146,501660
Karnataka,Limestone,2020,29751,5475530
Kerala,Limestone,2020,376,325069
Madhya Pradesh,Limestone,2020,36164,8405039
Maharashtra,Limestone,2020,12124,2840194
Meghalaya,Limestone,2020,5095,2540552
Odisha,Limestone,2020,4752,1598449
Rajasthan,Limestone,2020,66906,15908982
Tamil Nadu,Limestone,2020,23670,6692906
Telangana,Limestone,2020,24720,4959547
Uttar Pradesh,Limestone,2020,2656,515192
India,Limeshell,2020,12344,34774
Karnataka,Limeshell,2020,4003,7779
Kerala,Limeshell,2020,8341,26995
India,Magnesite,2020,299149,749297
Karnataka,Magnesite,2020,8391,34997
Tamil Nadu,Magnesite,2020,223406,623084
Uttarakhand,Magnesite,2020,67352,91216
India,Siliceous Earth,2020,77270,55340
Rajasthan,Siliceous Earth,2020,77270,55340
India,Selenite,2020,4328,8656
Rajasthan,Selenite,2020,4328,8656
India,Sulphur,2020,560825,0
Assam,Sulphur,2020,6559,0
Bihar,Sulphur,2020,8159,0
